ATOH1	ENST00000306011.6	ENSG00000172238
ATOX1	ENST00000313115.11	ENSG00000177556
ATP1A1	ENST00000295598.10	ENSG00000163399
ATP1A2	ENST00000361216.8	ENSG00000018625
ATP1A3	ENST00000648268.1	ENSG00000105409
ATP12A	ENST00000381946.5	ENSG00000075673
ATP1A4	ENST00000368081.9	ENSG00000132681
ATP1B1	ENST00000367815.9	ENSG00000143153
ATP1B2	ENST00000250111.9	ENSG00000129244
ATP1B3	ENST00000286371.8	ENSG00000069849
FXYD2	ENST00000292079.7	ENSG00000137731
ATP2A1	ENST00000395503.9	ENSG00000196296
ATP2A2	ENST00000539276.7	ENSG00000174437
ATP2A3	ENST00000397041.8	ENSG00000074370
ATP2B1	ENST00000428670.8	ENSG00000070961
ATP2B2	ENST00000360273.7	ENSG00000157087
ATP2B3	ENST00000263519.5	ENSG00000067842
ATP2B4	ENST00000357681.10	ENSG00000058668
ATP4A	ENST00000262623.4	ENSG00000105675
ATP4B	ENST00000335288.5	ENSG00000186009
ATP5F1A	ENST00000398752.11	ENSG00000152234
ALDH7A1	ENST00000409134.8	ENSG00000164904
ATP5F1B	ENST00000262030.8	ENSG00000110955
ATP5F1C	ENST00000356708.12	ENSG00000165629
ATP5F1D	ENST00000215375.7	ENSG00000099624
ATP5F1E	ENST00000243997.8	ENSG00000124172
ATP5PB	ENST00000369722.8	ENSG00000116459
ATP5MC1	ENST00000393366.7	ENSG00000159199
ATP5MC2	ENST00000394349.9	ENSG00000135390
ATP5MC3	ENST00000284727.9	ENSG00000154518
ATP5ME	ENST00000304312.5	ENSG00000169020
ATP5PF	ENST00000284971.8	ENSG00000154723
ATP6V1A	ENST00000273398.8	ENSG00000114573
ATP6V1B1	ENST00000234396.10	ENSG00000116039
ATP6V1B2	ENST00000276390.7	ENSG00000147416
ATP6V0C	ENST00000330398.9	ENSG00000185883
ATP6V1C1	ENST00000518738.2	ENSG00000155097
ATP6V1E1	ENST00000253413.10	ENSG00000131100
ATP6V0B	ENST00000472174.7	ENSG00000117410
ATP6V1G2	ENST00000303892.10	ENSG00000213760
ATP6V0A1	ENST00000343619.9	ENSG00000033627
ATP6AP1	ENST00000369762.7	ENSG00000071553
ATP7A	ENST00000341514.11	ENSG00000165240
ATP5PO	ENST00000290299.7	ENSG00000241837
ATP7B	ENST00000242839.10	ENSG00000123191
ATR	ENST00000350721.9	ENSG00000175054
ATRX	ENST00000373344.11	ENSG00000085224
KIF1A	ENST00000498729.9	ENSG00000130294
AUH	ENST00000375731.9	ENSG00000148090
AUP1	ENST00000377526.4	ENSG00000115307
AVP	ENST00000380293.3	ENSG00000101200
AVPR1A	ENST00000299178.4	ENSG00000166148
AVPR1B	ENST00000367126.5	ENSG00000198049
AVPR2	ENST00000646375.2	ENSG00000126895
AXL	ENST00000301178.9	ENSG00000167601
AZGP1	ENST00000292401.9	ENSG00000160862
AZU1	ENST00000233997.4	ENSG00000172232
B2M	ENST00000648006.3	ENSG00000166710
BAAT	ENST00000259407.7	ENSG00000136881
BACH1	ENST00000286800.8	ENSG00000156273
BAD	ENST00000309032.8	ENSG00000002330
BAG1	ENST00000634734.3	ENSG00000107262
ADGRB1	ENST00000517894.6	ENSG00000181790
ADGRB2	ENST00000373658.8	ENSG00000121753
ADGRB3	ENST00000370598.6	ENSG00000135298
BAK1	ENST00000374467.4	ENSG00000030110
NKX3-2	ENST00000382438.6	ENSG00000109705
BARD1	ENST00000260947.9	ENSG00000138376
BAX	ENST00000345358.12	ENSG00000087088
BBS1	ENST00000318312.12	ENSG00000174483
BBS2	ENST00000245157.11	ENSG00000125124
BBS4	ENST00000268057.9	ENSG00000140463
BCAT1	ENST00000261192.12	ENSG00000060982
BCAT2	ENST00000316273.11	ENSG00000105552
BCHE	ENST00000264381.8	ENSG00000114200
BCKDHA	ENST00000269980.7	ENSG00000248098
BCKDHB	ENST00000320393.9	ENSG00000083123
CCND1	ENST00000227507.3	ENSG00000110092
BCL2	ENST00000333681.5	ENSG00000171791
BCL2A1	ENST00000267953.4	ENSG00000140379
BCL2L1	ENST00000307677.5	ENSG00000171552
BCL2L2	ENST00000250405.10	ENSG00000129473
BCL3	ENST00000164227.10	ENSG00000069399
BCL6	ENST00000406870.7	ENSG00000113916
BCL7A	ENST00000261822.5	ENSG00000110987
BCL9	ENST00000234739.8	ENSG00000116128
TNFRSF17	ENST00000053243.6	ENSG00000048462
HCN2	ENST00000251287.3	ENSG00000099822
OPN1SW	ENST00000249389.3	ENSG00000128617
BCR	ENST00000305877.13	ENSG00000186716
BCS1L	ENST00000359273.8	ENSG00000074582
BDH1	ENST00000392379.6	ENSG00000161267
BDKRB1	ENST00000216629.11	ENSG00000100739
BDKRB2	ENST00000554311.2	ENSG00000168398
BDNF	ENST00000356660.9	ENSG00000176697
CFB	ENST00000425368.7	ENSG00000243649
