isoform,structural_category
ONT1.1063.9114,ISM
ONT1.1063.9136,ISM
ONT1.1063.9137,ISM
ONT1.1063.9139,ISM
ONT1.1063.9143,ISM
ONT1.1063.9399,NIC
ONT1.1063.9403,FSM
ONT1.1063.9404,NIC
ONT1.1063.9405,NNC
ONT1.1063.9406,NIC
ONT1.1063.9412,NIC
ONT1.1063.9416,NIC
ONT1.1063.9441,ISM
ONT1.1063.9452,ISM
ONT1.1063.9460,ISM
ONT1.1063.9469,ISM
ONT1.1063.9470,ISM
ONT1.1063.9476,ISM
ONT1.1078.100,NIC
ONT1.1078.101,ISM
ONT1.1078.103,NNC
ONT1.1078.104,FSM
ONT1.1078.106,NNC
ONT1.1078.107,NNC
ONT1.1078.109,ISM
ONT1.1078.110,NNC
ONT1.1078.117,FSM
ONT1.1078.121,NIC
ONT1.1078.124,NNC
ONT1.1078.126,NNC
ONT1.1078.145,NIC
ONT1.1078.196,NNC
ONT1.1078.201,NIC
ONT1.1078.625,ISM
ONT1.1078.627,ISM
ONT1.1078.628,ISM
ONT1.1078.630,ISM
ONT1.1078.632,ISM
ONT1.1078.633,NIC
ONT1.1078.638,ISM
ONT1.1078.639,ISM
ONT1.1078.646,NNC
ONT1.1078.647,NNC
ONT1.1078.654,NNC
ONT1.1078.659,FSM
ONT1.1078.660,NIC
ONT1.1078.664,ISM
ONT1.1078.673,ISM
ONT1.1078.684,NNC
ONT1.1078.699,FSM
ONT1.1078.736,ISM
ONT1.1078.755,ISM
ONT1.1078.780,NNC
ONT1.1078.95,FSM
ONT1.1078.96,ISM
ONT1.1078.97,FSM
ONT1.1078.98,NIC
ONT1.1078.99,NNC
ONT1.1080.10010,NNC
ONT1.1080.11330,NNC
ONT1.1080.11331,FSM
ONT1.1080.11380,FSM
ONT1.1080.11382,FSM
ONT1.1080.11389,FSM
ONT1.1080.115,ISM
ONT1.1080.11590,FSM
ONT1.1080.11591,FSM
ONT1.1080.11592,FSM
ONT1.1080.11598,FSM
ONT1.1080.11599,FSM
ONT1.1080.11601,FSM
ONT1.1080.11603,FSM
ONT1.1080.11607,FSM
ONT1.1080.11610,FSM
ONT1.1080.11612,ISM
ONT1.1080.11614,FSM
ONT1.1080.11617,FSM
ONT1.1080.11632,FSM
ONT1.1080.11635,FSM
ONT1.1080.11638,FSM
ONT1.1080.117,ISM
ONT1.1080.11716,ISM
ONT1.1080.11717,FSM
ONT1.1080.11719,ISM
ONT1.1080.11720,ISM
ONT1.1080.11722,FSM
ONT1.1080.11729,ISM
ONT1.1080.11731,ISM
ONT1.1080.11734,ISM
ONT1.1080.11736,ISM
ONT1.1080.11739,ISM
ONT1.1080.11740,ISM
ONT1.1080.11754,NIC
ONT1.1080.11755,NNC
ONT1.1080.11757,NIC
ONT1.1080.11764,NNC
ONT1.1080.11769,ISM
ONT1.1080.11775,FSM
ONT1.1080.11796,NNC
ONT1.1080.121,ISM
ONT1.1080.122,ISM
ONT1.1080.124,ISM
ONT1.1080.125,ISM
ONT1.1080.127,ISM
ONT1.1080.128,ISM
ONT1.1080.12933,FSM
ONT1.1080.131,ISM
ONT1.1080.1328,ISM
ONT1.1080.13353,ISM
ONT1.1080.138,NIC
ONT1.1080.140,ISM
ONT1.1080.142,ISM
ONT1.1080.145,ISM
ONT1.1080.146,NNC
ONT1.1080.147,NIC
ONT1.1080.149,ISM
ONT1.1080.155,FSM
ONT1.1080.161,ISM
ONT1.1080.16142,NIC
ONT1.1080.16147,NIC
ONT1.1080.16161,NIC
ONT1.1080.16162,NIC
ONT1.1080.16190,FSM
ONT1.1080.163,NNC
ONT1.1080.164,NIC
ONT1.1080.16646,NIC
ONT1.1080.16649,NIC
ONT1.1080.16655,NIC
ONT1.1080.16656,NNC
ONT1.1080.16657,FSM
ONT1.1080.16664,FSM
ONT1.1080.16668,NIC
ONT1.1080.16669,FSM
ONT1.1080.16672,NNC
ONT1.1080.16674,NIC
ONT1.1080.16675,NIC
ONT1.1080.16677,NIC
ONT1.1080.16684,ISM
ONT1.1080.16704,FSM
ONT1.1080.1671,NNC
ONT1.1080.16723,NNC
ONT1.1080.172,ISM
ONT1.1080.174,ISM
ONT1.1080.18618,NNC
ONT1.1080.18627,NNC
ONT1.1080.19611,NNC
ONT1.1080.19733,ISM
ONT1.1080.19736,FSM
ONT1.1080.19750,ISM
ONT1.1080.19755,ISM
ONT1.1080.19760,ISM
ONT1.1080.19763,ISM
ONT1.1080.19765,ISM
ONT1.1080.1994,FSM
ONT1.1080.1996,NNC
ONT1.1080.1997,NIC
ONT1.1080.20031,FSM
ONT1.1080.2004,NIC
ONT1.1080.20067,Genic_Genomic
ONT1.1080.20071,Genic_Genomic
ONT1.1080.20075,Genic_Genomic
ONT1.1080.20125,Genic_Genomic
ONT1.1080.20768,FSM
ONT1.1080.20769,FSM
ONT1.1080.20770,ISM
ONT1.1080.20772,NNC
ONT1.1080.20774,FSM
ONT1.1080.20775,ISM
ONT1.1080.20776,FSM
ONT1.1080.20777,NNC
ONT1.1080.20781,NNC
ONT1.1080.20782,ISM
ONT1.1080.20784,NNC
ONT1.1080.20785,ISM
ONT1.1080.20787,FSM
ONT1.1080.20790,ISM
ONT1.1080.20800,NIC
ONT1.1080.20801,ISM
ONT1.1080.20804,FSM
ONT1.1080.20807,FSM
ONT1.1080.20833,NIC
ONT1.1080.20861,NNC
ONT1.1080.21604,FSM
ONT1.1080.23284,NIC
ONT1.1080.23285,FSM
ONT1.1080.23288,NIC
ONT1.1080.23289,NIC
ONT1.1080.23292,NNC
ONT1.1080.23295,ISM
ONT1.1080.23296,ISM
ONT1.1080.23302,ISM
ONT1.1080.23304,NNC
ONT1.1080.23305,ISM
ONT1.1080.23306,NIC
ONT1.1080.23313,FSM
ONT1.1080.23322,NNC
ONT1.1080.23340,ISM
ONT1.1080.23341,NNC
ONT1.1080.23342,NIC
ONT1.1080.23344,NIC
ONT1.1080.23353,ISM
ONT1.1080.23369,NNC
ONT1.1080.23394,NIC
ONT1.1080.23662,NNC
ONT1.1080.23664,ISM
ONT1.1080.23665,FSM
ONT1.1080.23666,ISM
ONT1.1080.23667,ISM
ONT1.1080.23668,ISM
ONT1.1080.23669,ISM
ONT1.1080.23670,NIC
ONT1.1080.23671,ISM
ONT1.1080.23672,NNC
ONT1.1080.23675,NIC
ONT1.1080.23676,NNC
ONT1.1080.23678,FSM
ONT1.1080.23683,NNC
ONT1.1080.23684,FSM
ONT1.1080.23714,NNC
ONT1.1080.23716,FSM
ONT1.1080.23726,FSM
ONT1.1080.23736,NNC
ONT1.1080.23765,NIC
ONT1.1080.24381,ISM
ONT1.1080.24382,ISM
ONT1.1080.24383,ISM
ONT1.1080.24384,ISM
ONT1.1080.24386,ISM
ONT1.1080.24388,ISM
ONT1.1080.24391,ISM
ONT1.1080.24393,FSM
ONT1.1080.24396,ISM
ONT1.1080.24402,NIC
ONT1.1080.24403,NIC
ONT1.1080.24406,ISM
ONT1.1080.24407,NIC
ONT1.1080.24409,NIC
ONT1.1080.24419,ISM
ONT1.1080.24420,ISM
ONT1.1080.24422,ISM
ONT1.1080.24427,ISM
ONT1.1080.24430,NIC
ONT1.1080.24440,ISM
ONT1.1080.2455,FSM
ONT1.1080.2458,ISM
ONT1.1080.2464,FSM
ONT1.1080.2465,FSM
ONT1.1080.2466,NIC
ONT1.1080.2467,NIC
ONT1.1080.2468,NIC
ONT1.1080.2474,FSM
ONT1.1080.2513,NIC
ONT1.1080.25836,FSM
ONT1.1080.25845,NIC
ONT1.1080.25969,FSM
ONT1.1080.25971,FSM
ONT1.1080.25974,FSM
ONT1.1080.25993,NIC
ONT1.1080.26003,NIC
ONT1.1080.26269,FSM
ONT1.1080.26273,NIC
ONT1.1080.26462,ISM
ONT1.1080.26463,FSM
